Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Mail,Passenger,7176,3.255
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Express,Passenger,12142,5.508
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Mail,Passenger,20340,9.226
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Express,Passenger,1221344,554.002
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Mail,Passenger,429079,194.63
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Express,Passenger,1012659,459.342
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Mail,Passenger,467018,211.839
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Cargo,Passenger,42,0.019
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Express,Passenger,10500,4.763
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Mail,Passenger,2500,1.134
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Express,Passenger,3507,1.591
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Mail,Passenger,42960,19.487
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Cargo,Passenger,470598,213.463
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Express,Passenger,2618,1.188
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Mail,Passenger,10137,4.598
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Cargo,Passenger,457585,207.561
200508,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,458862,208.14
200508,ABX Air,GB,ABX Air,GB,Domestic,US,Enplaned,Cargo,Freighter,441842,200.42
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Cargo,Passenger,74940,33.993
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Mail,Passenger,57768,26.204
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Cargo,Passenger,73515,33.346
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Mail,Passenger,224120,101.661
200508,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,43859,19.894
200508,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,8731,3.96
200508,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,33330,15.118
200508,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,45264,20.532
200508,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,33004,14.971
200508,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Mail,Passenger,78206,35.474
200508,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,677216,307.185
200508,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,420664,190.813
200508,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,460581,208.92
200508,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,16885,7.659
200508,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,386474,175.305
200508,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,71918,32.622
200508,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,290851,131.93
200508,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Mail,Passenger,8986,4.076
200508,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,150405,68.224
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,200435,90.917
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,2226,1.01
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,185119,83.97
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,3630,1.647
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,27363,12.412
